Archetype,Black/White Control,Blue/Black Psychatog,Blue/White Dreadnought,Contamination,Deadguy Ale,Devourer Combo,Elves,Enchantress,Goblins,Gro-a-tog,Landstill,Machine Head,Mono Blue Dreadnought,Mono Blue Tide Control,Red/Green Oath Ponza,Replenish,Sligh,Stasis,Survival Madness,Survival Rock,Terrageddon,The Rock,Unknown,White Weenie
Black/White Control,0.0% (0W-0L),52.0% (13W-12L),63.2% (12W-7L),70.6% (24W-10L),54.2% (13W-11L),55.0% (11W-9L),31.1% (14W-31L),31.7% (13W-28L),33.3% (25W-50L),50.0% (19W-19L),72.4% (21W-8L),63.2% (12W-7L),57.9% (33W-24L),38.9% (7W-11L),54.5% (18W-15L),14.3% (6W-36L),37.8% (48W-79L),10.5% (2W-17L),40.0% (10W-15L),31.2% (10W-22L),12.2% (6W-43L),45.5% (10W-12L),57.6% (68W-50L),62.5% (5W-3L)
Blue/Black Psychatog,48.0% (12W-13L),0.0% (0W-0L),57.1% (4W-3L),61.5% (8W-5L),77.8% (7W-2L),45.5% (5W-6L),43.6% (24W-31L),56.2% (18W-14L),48.9% (22W-23L),100.0% (14W-0L),39.0% (16W-25L),51.6% (16W-15L),65.7% (44W-23L),52.6% (10W-9L),57.1% (12W-9L),66.7% (24W-12L),31.2% (20W-44L),42.9% (9W-12L),25.0% (6W-18L),37.5% (6W-10L),43.3% (13W-17L),34.6% (9W-17L),62.0% (88W-54L),54.5% (6W-5L)
Blue/White Dreadnought,36.8% (7W-12L),42.9% (3W-4L),0.0% (0W-0L),50.0% (1W-1L),50.0% (4W-4L),100.0% (9W-0L),60.0% (12W-8L),12.5% (1W-7L),76.3% (29W-9L),27.3% (3W-8L),63.2% (12W-7L),66.7% (4W-2L),50.0% (7W-7L),21.4% (3W-11L),47.6% (10W-11L),68.2% (15W-7L),68.6% (35W-16L),18.2% (2W-9L),26.7% (4W-11L),50.0% (5W-5L),37.5% (6W-10L),42.9% (3W-4L),68.2% (45W-21L),0.0% (0W-0L)
Contamination,29.4% (10W-24L),38.5% (5W-8L),50.0% (1W-1L),0.0% (0W-0L),28.6% (2W-5L),0.0% (0W-4L),60.0% (15W-10L),15.8% (3W-16L),65.4% (17W-9L),14.3% (1W-6L),48.5% (16W-17L),53.3% (8W-7L),53.8% (14W-12L),14.3% (1W-6L),16.7% (1W-5L),17.6% (3W-14L),39.2% (20W-31L),66.7% (2W-1L),36.4% (4W-7L),21.4% (3W-11L),14.3% (3W-18L),33.3% (3W-6L),43.1% (44W-58L),0.0% (0W-12L)
Deadguy Ale,45.8% (11W-13L),22.2% (2W-7L),50.0% (4W-4L),71.4% (5W-2L),0.0% (0W-0L),33.3% (1W-2L),31.8% (7W-15L),15.4% (2W-11L),25.6% (10W-29L),54.5% (12W-10L),26.9% (7W-19L),44.4% (8W-10L),48.4% (15W-16L),0.0% (0W-6L),31.2% (5W-11L),31.2% (10W-22L),29.6% (16W-38L),25.0% (1W-3L),11.1% (2W-16L),71.4% (5W-2L),30.0% (6W-14L),76.9% (10W-3L),42.6% (26W-35L),25.0% (1W-3L)
Devourer Combo,45.0% (9W-11L),54.5% (6W-5L),0.0% (0W-9L),100.0% (4W-0L),66.7% (2W-1L),0.0% (0W-0L),80.9% (38W-9L),70.4% (19W-8L),67.6% (23W-11L),37.5% (3W-5L),42.4% (14W-19L),56.0% (14W-11L),12.5% (3W-21L),25.0% (2W-6L),69.2% (9W-4L),66.7% (12W-6L),42.9% (21W-28L),22.2% (4W-14L),33.3% (4W-8L),47.1% (8W-9L),20.0% (6W-24L),83.3% (10W-2L),64.3% (54W-30L),100.0% (7W-0L)
Elves,68.9% (31W-14L),56.4% (31W-24L),40.0% (8W-12L),40.0% (10W-15L),68.2% (15W-7L),19.1% (9W-38L),0.0% (0W-0L),48.0% (36W-39L),30.4% (31W-71L),52.4% (33W-30L),61.2% (41W-26L),73.7% (28W-10L),67.2% (86W-42L),71.9% (41W-16L),40.4% (23W-34L),49.3% (34W-35L),42.1% (80W-110L),82.4% (28W-6L),60.6% (40W-26L),61.4% (27W-17L),67.9% (53W-25L),74.5% (38W-13L),61.0% (211W-135L),80.0% (20W-5L)
Enchantress,68.3% (28W-13L),43.8% (14W-18L),87.5% (7W-1L),84.2% (16W-3L),84.6% (11W-2L),29.6% (8W-19L),52.0% (39W-36L),0.0% (0W-0L),45.7% (43W-51L),59.0% (23W-16L),65.2% (45W-24L),66.7% (16W-8L),57.1% (68W-51L),44.2% (19W-24L),45.5% (20W-24L),21.3% (16W-59L),67.3% (76W-37L),55.6% (15W-12L),48.8% (20W-21L),78.9% (45W-12L),47.5% (38W-42L),60.6% (20W-13L),61.2% (156W-99L),83.3% (10W-2L)
Goblins,66.7% (50W-25L),51.1% (23W-22L),23.7% (9W-29L),34.6% (9W-17L),74.4% (29W-10L),32.4% (11W-23L),69.6% (71W-31L),54.3% (51W-43L),0.0% (0W-0L),33.3% (23W-46L),42.6% (40W-54L),36.7% (11W-19L),49.4% (89W-91L),52.5% (31W-28L),29.3% (22W-53L),32.0% (31W-66L),43.7% (97W-125L),46.3% (25W-29L),71.9% (41W-16L),60.7% (34W-22L),40.6% (41W-60L),53.8% (21W-18L),49.0% (196W-204L),31.6% (6W-13L)
Gro-a-tog,50.0% (19W-19L),0.0% (0W-14L),72.7% (8W-3L),85.7% (6W-1L),45.5% (10W-12L),62.5% (5W-3L),47.6% (30W-33L),41.0% (16W-23L),66.7% (46W-23L),0.0% (0W-0L),44.1% (15W-19L),58.6% (17W-12L),54.3% (25W-21L),38.1% (8W-13L),23.5% (8W-26L),62.1% (36W-22L),32.6% (29W-60L),55.6% (5W-4L),66.7% (16W-8L),21.1% (4W-15L),52.5% (21W-19L),63.6% (14W-8L),59.0% (79W-55L),40.0% (8W-12L)
Landstill,27.6% (8W-21L),61.0% (25W-16L),36.8% (7W-12L),51.5% (17W-16L),73.1% (19W-7L),57.6% (19W-14L),38.8% (26W-41L),34.8% (24W-45L),57.4% (54W-40L),55.9% (19W-15L),0.0% (0W-0L),76.9% (20W-6L),54.4% (68W-57L),48.2% (27W-29L),50.0% (17W-17L),58.1% (36W-26L),26.9% (35W-95L),14.3% (6W-36L),53.6% (30W-26L),71.4% (25W-10L),19.6% (11W-45L),50.0% (12W-12L),54.2% (148W-125L),20.0% (2W-8L)
Machine Head,36.8% (7W-12L),48.4% (15W-16L),33.3% (2W-4L),46.7% (7W-8L),55.6% (10W-8L),44.0% (11W-14L),26.3% (10W-28L),33.3% (8W-16L),63.3% (19W-11L),41.4% (12W-17L),23.1% (6W-20L),0.0% (0W-0L),48.4% (31W-33L),48.4% (15W-16L),26.7% (4W-11L),44.7% (17W-21L),29.1% (25W-61L),50.0% (4W-4L),41.2% (7W-10L),9.1% (1W-10L),46.9% (15W-17L),58.3% (7W-5L),41.2% (66W-94L),22.2% (2W-7L)
Mono Blue Dreadnought,42.1% (24W-33L),34.3% (23W-44L),50.0% (7W-7L),46.2% (12W-14L),51.6% (16W-15L),87.5% (21W-3L),32.8% (42W-86L),42.9% (51W-68L),50.6% (91W-89L),45.7% (21W-25L),45.6% (57W-68L),51.6% (33W-31L),0.0% (0W-0L),42.1% (32W-44L),51.5% (34W-32L),54.3% (63W-53L),76.8% (179W-54L),61.0% (36W-23L),46.3% (25W-29L),44.4% (28W-35L),41.2% (40W-57L),52.3% (23W-21L),64.1% (289W-162L),44.4% (8W-10L)
Mono Blue Tide Control,61.1% (11W-7L),47.4% (9W-10L),78.6% (11W-3L),85.7% (6W-1L),100.0% (6W-0L),75.0% (6W-2L),28.1% (16W-41L),55.8% (24W-19L),47.5% (28W-31L),61.9% (13W-8L),51.8% (29W-27L),51.6% (16W-15L),57.9% (44W-32L),0.0% (0W-0L),54.5% (18W-15L),60.0% (15W-10L),57.8% (63W-46L),36.0% (9W-16L),33.3% (12W-24L),48.6% (18W-19L),31.2% (15W-33L),82.1% (23W-5L),64.9% (113W-61L),45.5% (5W-6L)
Red/Green Oath Ponza,45.5% (15W-18L),42.9% (9W-12L),52.4% (11W-10L),83.3% (5W-1L),68.8% (11W-5L),30.8% (4W-9L),59.6% (34W-23L),54.5% (24W-20L),70.7% (53W-22L),76.5% (26W-8L),50.0% (17W-17L),73.3% (11W-4L),48.5% (32W-34L),45.5% (15W-18L),0.0% (0W-0L),25.0% (10W-30L),42.2% (57W-78L),65.5% (19W-10L),79.3% (23W-6L),66.7% (30W-15L),48.6% (17W-18L),78.1% (25W-7L),60.1% (92W-61L),36.8% (7W-12L)
Replenish,85.7% (36W-6L),33.3% (12W-24L),31.8% (7W-15L),82.4% (14W-3L),68.8% (22W-10L),33.3% (6W-12L),50.7% (35W-34L),78.7% (59W-16L),68.0% (66W-31L),37.9% (22W-36L),41.9% (26W-36L),55.3% (21W-17L),45.7% (53W-63L),40.0% (10W-15L),75.0% (30W-10L),0.0% (0W-0L),44.8% (65W-80L),23.5% (8W-26L),56.1% (23W-18L),75.0% (27W-9L),56.5% (35W-27L),82.4% (28W-6L),61.0% (152W-97L),83.3% (10W-2L)
Sligh,62.2% (79W-48L),68.8% (44W-20L),31.4% (16W-35L),60.8% (31W-20L),70.4% (38W-16L),57.1% (28W-21L),57.9% (110W-80L),32.7% (37W-76L),56.3% (125W-97L),67.4% (60W-29L),73.1% (95W-35L),70.9% (61W-25L),23.2% (54W-179L),42.2% (46W-63L),57.8% (78W-57L),55.2% (80W-65L),0.0% (0W-0L),31.5% (28W-61L),51.7% (45W-42L),38.4% (33W-53L),47.2% (59W-66L),69.0% (58W-26L),62.6% (325W-194L),46.8% (22W-25L)
Stasis,89.5% (17W-2L),57.1% (12W-9L),81.8% (9W-2L),33.3% (1W-2L),75.0% (3W-1L),77.8% (14W-4L),17.6% (6W-28L),44.4% (12W-15L),53.7% (29W-25L),44.4% (4W-5L),85.7% (36W-6L),50.0% (4W-4L),39.0% (23W-36L),64.0% (16W-9L),34.5% (10W-19L),76.5% (26W-8L),68.5% (61W-28L),0.0% (0W-0L),52.0% (13W-12L),18.8% (3W-13L),46.9% (15W-17L),61.9% (13W-8L),53.8% (70W-60L),85.7% (6W-1L)
Survival Madness,60.0% (15W-10L),75.0% (18W-6L),73.3% (11W-4L),63.6% (7W-4L),88.9% (16W-2L),66.7% (8W-4L),39.4% (26W-40L),51.2% (21W-20L),28.1% (16W-41L),33.3% (8W-16L),46.4% (26W-30L),58.8% (10W-7L),53.7% (29W-25L),66.7% (24W-12L),20.7% (6W-23L),43.9% (18W-23L),48.3% (42W-45L),48.0% (12W-13L),0.0% (0W-0L),50.0% (8W-8L),66.7% (28W-14L),53.1% (17W-15L),65.3% (111W-59L),57.9% (11W-8L)
Survival Rock,68.8% (22W-10L),62.5% (10W-6L),50.0% (5W-5L),78.6% (11W-3L),28.6% (2W-5L),52.9% (9W-8L),38.6% (17W-27L),21.1% (12W-45L),39.3% (22W-34L),78.9% (15W-4L),28.6% (10W-25L),90.9% (10W-1L),55.6% (35W-28L),51.4% (19W-18L),33.3% (15W-30L),25.0% (9W-27L),61.6% (53W-33L),81.2% (13W-3L),50.0% (8W-8L),0.0% (0W-0L),68.0% (34W-16L),60.0% (6W-4L),55.4% (67W-54L),83.3% (5W-1L)
Terrageddon,87.8% (43W-6L),56.7% (17W-13L),62.5% (10W-6L),85.7% (18W-3L),70.0% (14W-6L),80.0% (24W-6L),32.1% (25W-53L),52.5% (42W-38L),59.4% (60W-41L),47.5% (19W-21L),80.4% (45W-11L),53.1% (17W-15L),58.8% (57W-40L),68.8% (33W-15L),51.4% (18W-17L),43.5% (27W-35L),52.8% (66W-59L),53.1% (17W-15L),33.3% (14W-28L),32.0% (16W-34L),0.0% (0W-0L),65.8% (25W-13L),59.2% (109W-75L),52.4% (11W-10L)
The Rock,54.5% (12W-10L),65.4% (17W-9L),57.1% (4W-3L),66.7% (6W-3L),23.1% (3W-10L),16.7% (2W-10L),25.5% (13W-38L),39.4% (13W-20L),46.2% (18W-21L),36.4% (8W-14L),50.0% (12W-12L),41.7% (5W-7L),47.7% (21W-23L),17.9% (5W-23L),21.9% (7W-25L),17.6% (6W-28L),31.0% (26W-58L),38.1% (8W-13L),46.9% (15W-17L),40.0% (4W-6L),34.2% (13W-25L),0.0% (0W-0L),38.1% (51W-83L),50.0% (3W-3L)
Unknown,42.4% (50W-68L),38.0% (54W-88L),31.8% (21W-45L),56.9% (58W-44L),57.4% (35W-26L),35.7% (30W-54L),39.0% (135W-211L),38.8% (99W-156L),51.0% (204W-196L),41.0% (55W-79L),45.8% (125W-148L),58.8% (94W-66L),35.9% (162W-289L),35.1% (61W-113L),39.9% (61W-92L),39.0% (97W-152L),37.4% (194W-325L),46.2% (60W-70L),34.7% (59W-111L),44.6% (54W-67L),40.8% (75W-109L),61.9% (83W-51L),0.0% (0W-0L),45.3% (29W-35L)
White Weenie,37.5% (3W-5L),45.5% (5W-6L),0.0% (0W-0L),100.0% (12W-0L),75.0% (3W-1L),0.0% (0W-7L),20.0% (5W-20L),16.7% (2W-10L),68.4% (13W-6L),60.0% (12W-8L),80.0% (8W-2L),77.8% (7W-2L),55.6% (10W-8L),54.5% (6W-5L),63.2% (12W-7L),16.7% (2W-10L),53.2% (25W-22L),14.3% (1W-6L),42.1% (8W-11L),16.7% (1W-5L),47.6% (10W-11L),50.0% (3W-3L),54.7% (35W-29L),0.0% (0W-0L)
